# Constructed from biom file
#OTU ID	M1D.ITS.R1	M3R.ITS.R1	M12D.ITS.R1	M3D.ITS.R1	M9D.ITS.R1	M5D.ITS.R1	M10D.ITS.R1	M2D.ITS.R1	M11D.ITS.R1	M4D.ITS.R1	M7D.ITS.R1	M2R.ITS.R1	M11R.ITS.R1	M1R.ITS.R1	M12R.ITS.R1	M9R.ITS.R1	M10R.ITS.R1	M5R.ITS.R1
No blast hit;Other;Other	0.07158678239369222	0.007874600698313592	0.9585540254234783	0.06389396508069685	0.13116122480210085	0.13300290030734402	0.24058240093807998	0.00047663568534711884	0.0008353906386374409	0.0020005518763796916	0.038307030129125	0.1293103448275861	0.01480165778567199	0.31083650190114015	0.7105263157894732	0.04918032786885246	0.16	0.0
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes	0.2604630798155921	0.2792325978753433	0.0005296610169491525	0.23802813800391925	5.564752855413809e-05	0.0	9.771827820393805e-05	0.06326422115895805	0.0	0.002828366445916115	0.0	0.06609195402298851	0.0	0.12072243346007605	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Arthoniomycetes	6.438818348056765e-05	9.286085729143451e-05	6.620762711864407e-05	0.0	1.3911882138534523e-05	4.328816934331847e-05	0.0	0.00014665713395295972	0.00028677589087553926	1.7246136865342163e-05	0.0	0.0028735632183908046	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Coniocybomycetes	0.0	0.00473590372186316	0.0	2.2017217464056893e-05	0.0	0.0	0.0	1.8332141744119964e-05	0.0	1.7246136865342163e-05	0.0	0.0	0.0	0.004752851711026616	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes	0.03497566126664482	0.27759824678701406	0.01026218220338983	0.13652876549461693	0.1448644287085599	0.013527552919787016	0.062197684076806516	0.0349227300225484	0.050734395650981035	0.16540769867549657	0.017790530846484912	0.10632183908045975	0.08644168146832452	0.11787072243346003	0.02631578947368421	0.11475409836065575	0.34	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.03111237025781043	0.12844513780551214	0.0007282838983050849	0.10757612452938208	0.0009181842211432783	0.0842820657114411	0.0012703376166511942	0.07144035637683545	0.021620408468616743	0.026076158940397352	0.04332855093256816	0.09195402298850575	0.06157489638839549	0.12072243346007601	0.07894736842105263	0.01639344262295082	0.04	0.0
k__Fungi;p__Ascomycota;c__GS37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.623068432671082e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Geoglossomycetes	0.0	0.0005014486293737464	0.0	2.2017217464056893e-05	0.0	0.0	0.0	1.8332141744119964e-05	0.00830403231839605	0.0017246136865342165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Lecanoromycetes	0.00010302109356890825	0.06492831141817099	0.00013241525423728814	0.002465928355974371	0.0004730039927101737	0.00021644084671659238	4.8859139101969026e-05	0.0027314891198738753	0.005635769681554074	0.014383278145695367	0.0	0.0028735632183908046	0.11308466548253406	0.0028517110266159697	0.0	0.01639344262295082	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes	0.17581837381203697	0.08959215511477592	0.0021186440677966106	0.15801756973953676	0.047801227028004566	0.05445651703389472	0.015292910538916316	0.20427505545473026	0.14322585471684077	0.09311189293598192	0.018938307030129133	0.20114942528735627	0.21965660153937253	0.09220532319391633	0.02631578947368421	0.16393442622950818	0.38	0.0
k__Fungi;p__Ascomycota;c__Neolectomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8332141744119964e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Orbiliomycetes	0.0007597805650706982	0.0004643042864571726	0.0	4.4034434928113786e-05	0.0	2.1644084671659236e-05	0.0	0.00027498212616179944	1.2468516994588663e-05	0.00044839955849889626	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0
k__Fungi;p__Ascomycota;c__Pezizomycetes	0.000412084374275633	0.00020429388604115595	0.0038400423728813518	0.0006605165239217068	0.0002921495249092249	0.0004328816934331849	0.0008306053647334736	0.00012832499220883975	7.481110196753198e-05	0.009537113686534216	0.0008608321377331421	0.0028735632183908046	0.0005920663114268798	0.0	0.0	0.0	0.0	0.6666666666666666
k__Fungi;p__Ascomycota;c__Saccharomycetes	0.00045071728436397356	0.001170046801872075	0.0023172669491525423	0.0004403443492811378	0.00022259011421655236	0.0003895935240898664	0.0005374505301216593	0.00032997855139415937	0.0009102017406049726	0.000206953642384106	0.00014347202295552367	0.0	0.0	0.0076045627376425855	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Schizosaccharomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7246136865342163e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes	0.0023823627887809983	0.006481687838942129	0.002979343220338981	0.008696800898302473	0.035336180631877656	0.023765204969481875	0.05203498314359706	0.17598856074355163	0.0153113388693549	0.007709023178807953	0.021520803443328552	0.1810344827586207	0.03611604499703966	0.0028517110266159697	0.02631578947368421	0.03278688524590164	0.02	0.0
k__Fungi;p__Ascomycota;c__Taphrinomycetes	0.0	0.0005200208008320333	0.0	0.00019815495717651204	0.0	6.49322540149777e-05	0.0	0.0	0.0	0.00010347682119205298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Xylonomycetes	0.0001287763669611353	0.0010028972587474928	0.0	0.0010348092208106738	2.7823764277069045e-05	0.0	0.0	0.0	4.987406797835465e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__unidentified	5.151054678445412e-05	0.012239060991011066	0.00046345338983050843	0.01915497919372949	0.1218680875335623	0.17600969654993232	0.0004885913910196903	0.009092742305083503	0.06387621256327762	0.05132450331125829	0.00430416068866571	0.008620689655172414	0.1829484902309059	0.0	0.07894736842105263	0.3770491803278688	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.4028511087645159	0.09538667260976144	0.006885593220338972	0.23529800303837659	0.0010573030425286235	0.0012553569109562347	0.010064982655005616	0.21371610845295064	0.0005610832647564899	0.5704332229580608	0.8375896700143471	0.10632183908045975	0.0011841326228537595	0.19296577946768056	0.05263157894736842	0.0	0.0	0.3333333333333333
k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes	0.0	0.00013000520020800833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.173841059602649e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Atractiellomycetes	1.287763669611353e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	0.0	3.714434291657381e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020695364238410596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Dacrymycetes	1.287763669611353e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.666428348823993e-05	0.0	0.002276490066225165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Exobasidiomycetes	0.0	0.0	0.0	2.2017217464056893e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes	0.0	1.8572171458286904e-05	0.0	2.2017217464056893e-05	0.0	0.0	0.0	7.332856697647986e-05	0.0	0.0	0.0005738880918220947	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Malasseziomycetes	0.0	0.0	0.0	2.2017217464056893e-05	4.1735646415603566e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Microbotryomycetes	0.0007211476549823576	0.0011886189733303618	0.0	0.00226777339879786	0.0	0.0	0.0	0.0006049606775559587	0.0	0.0005001379690949228	0.0	0.0028735632183908046	0.0	0.0009505703422053232	0.0	0.0	0.0	0.0
